card_id,domain,domain_int,objective,subobjective,deck_id,deck_name,front,back,explanation,cli_config,cli_verify,common_mistakes,tags,difficulty,version,is_premium,status,card_num,sort_key
D1-011,1.0,1,1.8,1.8.a,D1-ipv6-addressing,IPv6 Addressing,What is the length of an IPv6 address?,128 bits.,"IPv6 uses 128-bit addresses, providing a vastly larger address space than IPv4.",,,Thinking IPv6 uses dotted decimal,"ipv6,addressing",1,v1.1,True,published,11,1-011
D1-012,1.0,1,1.8,1.8.b,D1-ipv6-addressing,IPv6 Addressing,What is the typical IPv6 prefix length for a LAN?,/64.,A /64 prefix is standard for IPv6 LANs and required for SLAAC to function properly.,,,Using /48 for hosts,"ipv6,prefix,slaac",1,v1.1,True,published,12,1-012
D1-013,1.0,1,1.11,1.11.a,D1-wireless-fundamentals,Wireless Fundamentals,What frequency bands does 802.11ac use?,5 GHz only.,802.11ac operates exclusively in the 5 GHz band and supports higher throughput than earlier standards.,,,Thinking it supports 2.4 GHz,"wireless,80211ac",1,v1.1,True,published,13,1-013
D1-014,1.0,1,1.11,1.11.b,D1-wireless-fundamentals,Wireless Fundamentals,What is SSID?,The name of a wireless network.,An SSID identifies a wireless LAN and allows clients to discover and connect to it.,,,Thinking SSID provides security,"wireless,ssid,wlan",1,v1.1,True,published,14,1-014
D1-015,1.0,1,1.12,1.12.a,D1-virtualization,Virtualization,What is server virtualization?,Running multiple virtual machines on a single physical server.,Virtualization improves hardware utilization and flexibility by abstracting hardware resources.,,,Confusing VMs with containers,"virtualization,vm,server",1,v1.1,True,published,15,1-015
D1-016,1.0,1,1.12,1.12.b,D1-virtualization,Virtualization,What is a container?,A lightweight application environment that shares the host OS kernel.,Containers are faster and more lightweight than VMs but offer less isolation.,,,Thinking containers replace VMs entirely,"containers,virtualization",1,v1.1,True,published,16,1-016
D1-017,1.0,1,1.13,1.13.a,D1-switching-concepts,Switching Concepts,What is MAC address learning?,The process where a switch maps MAC addresses to ports.,Switches learn source MAC addresses from incoming frames and store them in the MAC address table.,,show mac address-table,Thinking MACs are manually configured,"switching,mac,learning",1,v1.1,True,published,17,1-017
D1-018,1.0,1,1.13,1.13.b,D1-switching-concepts,Switching Concepts,What happens when a switch receives a frame with an unknown destination MAC?,It floods the frame within the VLAN.,"Flooding helps the switch discover the destination device. Once a response is received, the MAC is learned.",,,Thinking flooding crosses VLANs,"switching,flooding,vlan",1,v1.1,True,published,18,1-018
D1-019,1.0,1,1.4,1.4.a,D1-physical-components,Physical Components,What device provides Power over Ethernet (PoE)?,A PoE-capable switch or injector.,"PoE delivers power and data over the same Ethernet cable, commonly used for APs, IP phones, and cameras.",,show power inline,Assuming all switches support PoE,"poe,power,ethernet",1,v1.1,True,published,19,1-019
D1-020,1.0,1,1.2,1.2.c,D1-network-topologies,Network Topologies,What is the difference between on-prem and cloud networking?,On-prem uses local infrastructure; cloud uses provider-managed infrastructure.,"Cloud networking offers scalability and reduced hardware management, while on-prem provides direct control.",,,Thinking cloud eliminates networking knowledge,"cloud,on-prem,networking",1,v1.1,True,published,20,1-020
D1-021,1.0,1,1.6,1.6.c,D1-ipv4-subnetting,IPv4 Subnetting,How many subnets are created when borrowing 3 bits from a /24 network?,8 subnets.,Borrowing 3 bits creates 2³ = 8 subnets. Subnetting divides a network into smaller broadcast domains.,,,Confusing number of hosts with subnets,"subnetting,ipv4,bits",2,v1.1,True,published,21,1-021
D1-022,1.0,1,1.6,1.6.d,D1-ipv4-subnetting,IPv4 Subnetting,What is the subnet increment for a /27 network?,32,"A /27 mask (255.255.255.224) increments by 32 in the last octet (0,32,64,96,128,160,192,224).",,,Using the wrong increment,"subnetting,ipv4,increment",2,v1.1,True,published,22,1-022
D1-023,1.0,1,1.6,1.6.e,D1-ipv4-subnetting,IPv4 Subnetting,Why must network and broadcast addresses not be assigned to hosts?,They are reserved for network identification and broadcast traffic.,Assigning these addresses breaks routing and communication because they have special meanings in IP networks.,,,Assigning broadcast to a host,"ipv4,addressing",2,v1.1,True,published,23,1-023
D1-024,1.0,1,1.8,1.8.c,D1-ipv6-addressing,IPv6 Addressing,What is SLAAC in IPv6?,Stateless Address Autoconfiguration.,SLAAC allows hosts to self-assign IPv6 addresses using router advertisements without a DHCPv6 server.,,,Thinking SLAAC uses DHCP,"ipv6,slaac,addressing",2,v1.1,True,published,24,1-024
D1-025,1.0,1,1.8,1.8.d,D1-ipv6-addressing,IPv6 Addressing,What IPv6 address type starts with FE80::?,Link-local address.,Link-local addresses are automatically assigned and used for local communication such as routing protocol neighbor discovery.,,show ipv6 interface brief,Confusing link-local with global,"ipv6,link-local",2,v1.1,True,published,25,1-025
D1-026,1.0,1,1.11,1.11.c,D1-wireless-fundamentals,Wireless Fundamentals,Why does 5 GHz experience less interference than 2.4 GHz?,It has more channels and less overlap.,"The 5 GHz band offers more non-overlapping channels, reducing congestion and interference compared to 2.4 GHz.",,,Assuming 5 GHz has longer range,"wireless,5ghz,interference",2,v1.1,True,published,26,1-026
D1-027,1.0,1,1.13,1.13.c,D1-switching-concepts,Switching Concepts,What happens first when a switch receives an Ethernet frame?,It learns the source MAC address.,Switches always record the source MAC-to-port mapping before making a forwarding or flooding decision.,,show mac address-table,Thinking destination lookup happens first,"switching,mac,learning",2,v1.1,True,published,27,1-027
D1-028,1.0,1,1.13,1.13.d,D1-switching-concepts,Switching Concepts,What causes a broadcast storm?,"Uncontrolled broadcast traffic, usually due to Layer 2 loops.","Broadcast storms consume bandwidth and CPU, leading to network outages. STP prevents this condition.",,show spanning-tree,Thinking storms only affect WAN,"stp,broadcast,loops",2,v1.1,True,published,28,1-028
D1-029,1.0,1,1.4,1.4.b,D1-physical-components,Physical Components,What is PoE+ (802.3at)?,An enhanced PoE standard providing up to 30 watts per port.,PoE+ supports higher-power devices like advanced APs and cameras compared to standard PoE (802.3af).,,show power inline,Assuming all PoE is the same,"poe,8023at,power",2,v1.1,True,published,29,1-029
D1-030,1.0,1,1.4,1.4.c,D1-physical-components,Physical Components,What happens if a PoE device requests more power than available?,The port may shut down or deny power.,Switches enforce power budgets to prevent overload and protect hardware.,,show power inline,Assuming power is unlimited,"poe,power,budget",2,v1.1,True,published,30,1-030
D1-031,1.0,1,1.2,1.2.d,D1-network-topologies,Network Topologies,What is a WAN?,A network that spans large geographic areas.,WANs connect LANs over long distances using service provider technologies.,,,Thinking WAN equals Internet,"wan,topology,network",1,v1.1,True,published,31,1-031
D1-032,1.0,1,1.2,1.2.e,D1-network-topologies,Network Topologies,What is a SOHO network?,Small Office/Home Office network.,"SOHO networks are simple, cost-effective, and commonly use integrated devices like routers with built-in switches and Wi-Fi.",,,Assuming SOHO has no security,"soho,network,small-office",1,v1.1,True,published,32,1-032
D1-033,1.0,1,1.5,1.5.c,D1-tcp-vs-udp,TCP vs UDP,Which protocol uses a three-way handshake?,TCP.,"The three-way handshake (SYN, SYN-ACK, ACK) establishes a reliable TCP session.",,,Thinking UDP has a handshake,"tcp,handshake,transport",2,v1.1,True,published,33,1-033
D1-034,1.0,1,1.5,1.5.d,D1-tcp-vs-udp,TCP vs UDP,What mechanism does TCP use for flow control?,Windowing.,TCP windowing adjusts data transmission based on receiver capacity to prevent congestion.,,,Confusing flow control with routing,"tcp,windowing,flow-control",2,v1.1,True,published,34,1-034
D1-035,1.0,1,1.6,1.6.f,D1-ipv4-subnetting,IPv4 Subnetting,How many usable hosts are in a /30 subnet?,2 usable hosts.,"A /30 provides 4 total addresses: network, two usable hosts, and broadcast. Commonly used for point-to-point links.",,,Using /30 for LANs,"subnetting,ipv4,point-to-point",2,v1.1,True,published,35,1-035
D1-036,1.0,1,1.8,1.8.e,D1-ipv6-addressing,IPv6 Addressing,What command verifies IPv6 configuration on an interface?,show ipv6 interface brief.,This command displays IPv6 addresses and interface status.,,show ipv6 interface brief,Using IPv4 commands for IPv6,"ipv6,cli,verification",2,v1.1,True,published,36,1-036
D1-037,1.0,1,1.13,1.13.e,D1-switching-concepts,Switching Concepts,What causes MAC address table instability?,Frames arriving on different ports for the same MAC.,"Often caused by loops or misconfigurations, leading to flooding and performance issues.",,show mac address-table,Blaming routing for L2 issues,"switching,mac,loops",3,v1.1,True,published,37,1-037
D1-038,1.0,1,1.11,1.11.d,D1-wireless-fundamentals,Wireless Fundamentals,What is channel overlap in wireless networks?,Interference caused by overlapping frequencies.,"Overlapping channels increase collisions and reduce throughput, especially in the 2.4 GHz band.",,,Using adjacent channels,"wireless,channels,interference",2,v1.1,True,published,38,1-038
D1-039,1.0,1,1.3,1.3.c,D1-cabling-interfaces,Cabling & Interfaces,What does auto-MDIX do?,Automatically adjusts transmit and receive pairs.,Auto-MDIX removes the need for crossover cables by detecting and correcting pair polarity.,,show interfaces status,Thinking crossover cables are still required,"mdix,cabling,ethernet",2,v1.1,True,published,39,1-039
D1-040,1.0,1,1.1,1.1.c,D1-network-components,Network Components,How can you verify interface status on a Cisco device?,show ip interface brief.,"This command provides a summary of interface status, IP addressing, and operational state.",,show ip interface brief,Using ping only for verification,"cli,interfaces,verification",2,v1.1,True,published,40,1-040
D1-041,1.0,1,1.6,1.6.g,D1-ipv4-subnetting,IPv4 Subnetting,What is the purpose of VLSM?,To use different subnet sizes within the same network.,VLSM allows efficient IP address utilization by assigning subnets based on actual host requirements instead of fixed sizes.,,,Using fixed-length subnetting only,"vlsm,subnetting,ipv4",2,v1.1,True,published,41,1-041
D1-042,1.0,1,1.6,1.6.h,D1-ipv4-subnetting,IPv4 Subnetting,What is CIDR?,Classless Inter-Domain Routing.,"CIDR removes classful boundaries and allows flexible prefix lengths, improving route aggregation and scalability.",,,Confusing CIDR with subnetting,"cidr,ipv4,routing",2,v1.1,True,published,42,1-042
D1-043,1.0,1,1.6,1.6.i,D1-ipv4-subnetting,IPv4 Subnetting,What command verifies the routing table on a Cisco router?,show ip route.,"This command displays learned routes, connected networks, and routing sources.",,show ip route,Looking only at interface status,"routing,cli,verification",2,v1.1,True,published,43,1-043
D1-044,1.0,1,1.8,1.8.f,D1-ipv6-addressing,IPv6 Addressing,What is the purpose of the IPv6 loopback address ::1?,To test the local IPv6 stack.,The IPv6 loopback address functions like 127.0.0.1 in IPv4 and never leaves the device.,,ping ::1,Thinking it tests remote connectivity,"ipv6,loopback,troubleshooting",2,v1.1,True,published,44,1-044
D1-045,1.0,1,1.8,1.8.g,D1-ipv6-addressing,IPv6 Addressing,What command enables IPv6 routing on a Cisco router?,ipv6 unicast-routing.,IPv6 routing is disabled by default. This command allows the router to forward IPv6 packets between interfaces.,ipv6 unicast-routing,show ipv6 route,Assuming IPv6 routing is automatic,"ipv6,routing,cli",2,v1.1,True,published,45,1-045
D1-046,1.0,1,1.8,1.8.h,D1-ipv6-addressing,IPv6 Addressing,What does the command show ipv6 route display?,The IPv6 routing table.,"It shows connected, static, and dynamically learned IPv6 routes along with route codes.",,show ipv6 route,Using IPv4 route commands,"ipv6,routing,verification",2,v1.1,True,published,46,1-046
D1-047,1.0,1,1.13,1.13.f,D1-switching-concepts,Switching Concepts,What is a MAC address aging timer?,The time before inactive MAC entries are removed.,Aging prevents stale MAC entries from remaining in the table when devices move or disconnect.,,show mac address-table aging-time,Thinking MAC entries are permanent,"switching,mac,aging",2,v1.1,True,published,47,1-047
D1-048,1.0,1,1.13,1.13.g,D1-switching-concepts,Switching Concepts,What happens when the MAC address table is full?,The switch floods frames like a hub.,"When CAM table capacity is exceeded, the switch cannot learn new MACs and floods traffic, reducing efficiency.",,show mac address-table count,Assuming flooding only occurs for broadcasts,"switching,mac,cam",3,v1.1,True,published,48,1-048
D1-049,1.0,1,1.13,1.13.h,D1-switching-concepts,Switching Concepts,What command shows interface operational status quickly?,show interfaces status.,"This command summarizes port status, speed, duplex, and VLAN assignment.",,show interfaces status,Using show run for status,"switching,interfaces,cli",2,v1.1,True,published,49,1-049
D1-050,1.0,1,1.13,1.13.i,D1-switching-concepts,Switching Concepts,How does a switch treat multicast frames by default?,It floods them within the VLAN.,"Without IGMP snooping, multicast traffic is flooded like broadcast traffic.",,show ip igmp snooping,Thinking multicast is routed by switches,"multicast,switching,igmp",3,v1.1,True,published,50,1-050
D1-051,1.0,1,1.5,1.5.e,D1-tcp-vs-udp,TCP vs UDP,What field does TCP use to ensure packet order?,Sequence numbers.,Sequence numbers allow the receiver to reorder packets and detect missing segments.,,,Confusing sequence with acknowledgment,"tcp,sequencing,transport",2,v1.1,True,published,51,1-051
D1-052,1.0,1,1.5,1.5.f,D1-tcp-vs-udp,TCP vs UDP,What does TCP use to detect lost packets?,Acknowledgments and retransmissions.,TCP retransmits packets when acknowledgments are not received within a timeout.,,,Assuming UDP retransmits,"tcp,reliability,transport",2,v1.1,True,published,52,1-052
D1-053,1.0,1,1.11,1.11.e,D1-wireless-fundamentals,Wireless Fundamentals,What does RSSI measure in wireless networks?,Signal strength received by a client.,RSSI helps determine link quality and roaming decisions but does not directly measure throughput.,,,Thinking RSSI equals speed,"wireless,rssi,signal",2,v1.1,True,published,53,1-053
D1-054,1.0,1,1.11,1.11.f,D1-wireless-fundamentals,Wireless Fundamentals,Why is channel planning important in wireless networks?,To reduce interference and improve performance.,Proper channel assignment minimizes overlap and maximizes throughput.,,,Using default channels,"wireless,planning,interference",2,v1.1,True,published,54,1-054
D1-055,1.0,1,1.3,1.3.d,D1-cabling-interfaces,Cabling & Interfaces,What does duplex mismatch cause?,"Collisions, errors, and poor performance.",Duplex mismatches often lead to late collisions and reduced throughput.,,show interfaces counters errors,Assuming speed mismatch causes same issue,"duplex,ethernet,troubleshooting",3,v1.1,True,published,55,1-055
D1-056,1.0,1,1.3,1.3.e,D1-cabling-interfaces,Cabling & Interfaces,What command verifies speed and duplex settings?,show interfaces status.,This command shows negotiated or manually configured speed and duplex values.,,show interfaces status,Using ping to diagnose cabling,"cabling,duplex,cli",2,v1.1,True,published,56,1-056
D1-057,1.0,1,1.4,1.4.d,D1-physical-components,Physical Components,What happens when a network interface is administratively down?,It is shut down by configuration.,An administratively down interface requires the no shutdown command to become operational.,interface g0/1 ; no shutdown,show ip interface brief,Waiting for link light,"interfaces,shutdown,cli",2,v1.1,True,published,57,1-057
D1-058,1.0,1,1.4,1.4.e,D1-physical-components,Physical Components,What command enables a disabled interface?,no shutdown.,This command brings an administratively down interface up if the physical link is present.,interface g0/1 ; no shutdown,show ip interface brief,Forgetting to save config,"interfaces,cli,enable",2,v1.1,True,published,58,1-058
D1-059,1.0,1,1.12,1.12.c,D1-virtualization,Virtualization,What is a hypervisor?,Software that manages virtual machines.,The hypervisor abstracts hardware resources and allows multiple VMs to run on a single physical host.,,,Confusing hypervisor with OS,"virtualization,hypervisor,vm",2,v1.1,True,published,59,1-059
D1-060,1.0,1,1.12,1.12.d,D1-virtualization,Virtualization,What is the difference between Type 1 and Type 2 hypervisors?,Type 1 runs on hardware; Type 2 runs on an OS.,Type 1 hypervisors offer better performance and security and are common in enterprise environments.,,,Thinking VirtualBox is Type 1,"virtualization,hypervisor,type1",2,v1.1,True,published,60,1-060
D2-001,2.0,2,2.1,2.1.a,D2-vlan-fundamentals,VLAN Fundamentals,What is the purpose of a VLAN?,To logically segment a Layer 2 network into separate broadcast domains.,"VLANs reduce broadcast traffic, improve security, and allow logical grouping of devices regardless of physical location. Each VLAN is its own broadcast domain.",,,Thinking VLANs create separate IP networks automatically,"vlan,broadcast,segmentation",1,v1.1,True,published,1,2-001
D2-002,2.0,2,2.2,2.2.a,D2-access-vs-trunk-ports,Access vs Trunk Ports,What is an access port?,A switch port that carries traffic for only one VLAN.,Access ports connect end devices such as PCs and printers. Frames are sent and received untagged.,interface g0/1 ; switchport mode access ; switchport access vlan 10,show interfaces switchport,Configuring access ports as trunks,"access-port,vlan,switching",1,v1.1,True,published,3,2-003
D2-004,2.0,2,2.2,2.2.b,D2-8021q-trunking,802.1Q Trunking,What does 802.1Q tagging do?,It inserts a VLAN tag into Ethernet frames on trunk links.,802.1Q allows multiple VLANs to traverse a single link. The tag identifies the VLAN so the receiving switch can forward the frame correctly.,"interface g0/1 ; switchport mode trunk ; switchport trunk allowed vlan 10,20",show interfaces trunk,Native VLAN mismatch,"trunk,8021q,vlan",1,v1.1,True,published,4,2-004
D2-005,2.0,2,2.3,2.3.a,D2-dtp,DTP,Dynamic Trunking Protocol (DTP) does what?,It negotiates trunk formation between Cisco switches.,DTP can automatically form trunks but may introduce security risks. Best practice is to manually configure trunk or access mode.,interface g0/1 ; switchport mode trunk ; switchport nonegotiate,show dtp interface g0/1,Leaving DTP enabled,"dtp,trunk,security",2,v1.1,True,published,5,2-005
D2-006,2.0,2,2.4,2.4.a,D2-etherchannel,EtherChannel,What is EtherChannel?,A technology that bundles multiple physical links into one logical link.,EtherChannel increases bandwidth and provides redundancy while preventing STP from blocking individual links.,interface range g0/1-2 ; channel-group 1 mode active,show etherchannel summary,Mixing config on member links,"etherchannel,lacp,bandwidth",2,v1.1,True,published,6,2-006
D2-007,2.0,2,2.5,2.5.a,D2-stp-basics,STP Basics,What problem does STP solve?,Layer 2 switching loops.,STP prevents broadcast storms and MAC table instability by blocking redundant paths in a switched network.,,show spanning-tree,Thinking loops only affect Layer 1,"stp,loops,layer2",1,v1.1,True,published,7,2-007
D2-008,2.0,2,2.5,2.5.d,D2-stp-protections-v11,STP Protections (v1.1),What does BPDU Guard do?,Err-disables a PortFast port if it receives a BPDU.,"BPDU Guard protects edge ports by shutting them down if a switch is accidentally connected, preventing loops.",interface g0/2 ; spanning-tree portfast ; spanning-tree bpduguard enable,show spanning-tree interface g0/2 detail ; show interface status err-disabled,Enabling on trunk ports,"stp,bpduguard,portfast",2,v1.1,True,published,8,2-008
D2-009,2.0,2,2.5,2.5.e,D2-stp-protections-v11,STP Protections (v1.1),What does Root Guard prevent?,It prevents a port from becoming a root port.,Root Guard ensures the root bridge remains predictable by blocking superior BPDUs received on protected ports.,"interface g0/1
 ; spanning-tree guard root",show spanning-tree inconsistentports,Applying on access ports,"stp,root-guard,security",2,v1.1,True,published,9,2-009
D2-010,2.0,2,2.6,2.6.a,D2-wireless-architectures,Wireless Architectures,What is a controller-based wireless architecture?,APs are managed centrally by a wireless LAN controller (WLC).,"The WLC handles configuration, security, and RF management, while APs focus on traffic forwarding.",,,Confusing autonomous vs controller-based,"wireless,wlc,architecture",1,v1.1,True,published,10,2-010
D2-011,2.0,2,2.2,2.2.c,D2-access-vs-trunk-ports,Access vs Trunk Ports,How can you force a port to be an access port?,Manually configure the switchport mode to access.,Manually setting access mode prevents trunk negotiation and improves security.,interface g0/1 ; switchport mode access,show interfaces switchport,Leaving DTP enabled,"vlan,access-port,security",2,v1.1,True,published,11,2-011
D2-012,2.0,2,2.2,2.2.d,D2-8021q-trunking,802.1Q Trunking,How do you restrict VLANs allowed on a trunk?,By configuring the allowed VLAN list.,Restricting VLANs improves security and reduces unnecessary broadcast traffic.,"interface g0/1 ; switchport mode trunk ; switchport trunk allowed vlan 10,20",show interfaces trunk,Allowing all VLANs by default,"trunk,vlan,8021q",2,v1.1,True,published,12,2-012
D2-013,2.0,2,2.2,2.2.e,D2-8021q-trunking,802.1Q Trunking,What is the native VLAN used for?,To carry untagged traffic on a trunk.,The native VLAN is sent without 802.1Q tagging. Native VLAN mismatches can cause security and connectivity issues.,interface g0/1 ; switchport trunk native vlan 99,show interfaces trunk,Leaving native VLAN as 1,"native-vlan,trunk,security",2,v1.1,True,published,13,2-013
D2-014,2.0,2,2.3,2.3.b,D2-dtp,DTP,Security best practice regarding DTP?,Disable DTP and manually configure trunk or access mode.,Disabling DTP prevents unintended trunk formation and VLAN hopping attacks.,interface g0/1 ; switchport mode trunk ; switchport nonegotiate,show dtp interface g0/1,Assuming DTP is required,"dtp,security,trunk",3,v1.1,True,published,14,2-014
D2-015,2.0,2,2.4,2.4.b,D2-etherchannel,EtherChannel,Which protocol actively negotiates EtherChannel?,LACP.,LACP (IEEE 802.3ad) actively negotiates link bundling and provides better interoperability than PAgP.,interface range g0/1-2 ; channel-group 1 mode active,show etherchannel summary,Mixing modes on links,"etherchannel,lacp",2,v1.1,True,published,15,2-015
D2-016,2.0,2,2.4,2.4.c,D2-etherchannel,EtherChannel,What happens if EtherChannel member links are misconfigured?,The bundle will not form.,"All member links must match speed, duplex, and VLAN settings for EtherChannel to operate.",interface range g0/1-2 ; channel-group 1 mode active,show etherchannel summary,Assuming STP will fix mismatches,"etherchannel,misconfig,troubleshooting",3,v1.1,True,published,16,2-016
D2-017,2.0,2,2.5,2.5.b,D2-stp-basics,STP Basics,What criteria does STP use to elect the root bridge?,Lowest Bridge ID.,Bridge ID consists of priority and MAC address. The lowest value becomes the root bridge.,,show spanning-tree,Thinking MAC alone decides,"stp,root-bridge",2,v1.1,True,published,17,2-017
D2-018,2.0,2,2.5,2.5.c,D2-stp-basics,STP Basics,How can you influence which switch becomes root?,Lower its bridge priority.,Administrators set lower priority values to control STP root placement.,spanning-tree vlan 10 priority 4096,show spanning-tree vlan 10,Changing MAC addresses,"stp,priority,root",3,v1.1,True,published,18,2-018
D2-019,2.0,2,2.5,2.5.f,D2-stp-protections-v11,STP Protections (v1.1),What does Loop Guard protect against?,Unidirectional link failures.,Loop Guard prevents alternate or root ports from transitioning to forwarding when BPDUs stop unexpectedly.,interface g0/1 ; spanning-tree guard loop,show spanning-tree inconsistentports,Confusing Loop Guard with Root Guard,"stp,loop-guard,protection",3,v1.1,True,published,19,2-019
D2-020,2.0,2,2.5,2.5.g,D2-stp-protections-v11,STP Protections (v1.1),What does BPDU Filter do?,Suppresses BPDU transmission or reception.,"BPDU Filter should be used cautiously, as it can disable STP protections entirely on a port.",interface g0/2 ; spanning-tree bpdufilter enable,show spanning-tree interface g0/2 detail,Using BPDU Filter instead of BPDU Guard,"stp,bpdufilter,security",3,v1.1,True,published,20,2-020
D2-021,2.0,2,2.5,2.5.h,D2-stp-convergence,STP Convergence,Which STP port state forwards traffic immediately?,PortFast-enabled ports.,PortFast allows edge ports to skip listening and learning states to speed host connectivity.,interface g0/2 ; spanning-tree portfast,show spanning-tree interface g0/2 detail,Enabling PortFast on trunk links,"stp,portfast,edge",2,v1.1,True,published,21,2-021
D2-022,2.0,2,2.6,2.6.b,D2-wireless-architectures,Wireless Architectures,What is a lightweight AP?,An AP managed by a wireless LAN controller.,"Lightweight APs rely on the WLC for configuration, security, and RF management.",,,Confusing with autonomous APs,"wireless,wlc,ap",1,v1.1,True,published,22,2-022
D2-023,2.0,2,2.6,2.6.c,D2-wireless-architectures,Wireless Architectures,What protocol used between APs and WLCs?,CAPWAP.,CAPWAP tunnels control and data traffic between APs and the controller.,,,Thinking CAPWAP replaces 802.11,"wireless,capwap,wlc",2,v1.1,True,published,23,2-023
D2-024,2.0,2,2.6,2.6.d,D2-wireless-management,Wireless Management,What is cloud-managed networking?,Network devices managed via cloud platforms.,Cloud-managed solutions centralize configuration and monitoring without on-prem controllers.,,,Assuming no CLI knowledge is needed,"cloud-managed,wireless,management",2,v1.1,True,published,24,2-024
D2-025,2.0,2,2.6,2.6.e,D2-wireless-management,Wireless Management,What management plane does HTTPS use?,The management plane.,HTTPS is used for secure device management and configuration access.,,show ip http server status,Confusing management and data planes,"management,https,security",2,v1.1,True,published,25,2-025
D2-026,2.0,2,2.7,2.7.a,D2-device-management,Device Management,Why is SSH preferred over Telnet?,It encrypts management traffic.,SSH protects credentials and commands from interception.,ip domain-name example.com ; crypto key generate rsa ; line vty 0 4 ; transport input ssh,show ip ssh,Telnet still enabled,"ssh,management,security",3,v1.1,True,published,26,2-026
D2-027,2.0,2,2.7,2.7.b,D2-device-management,Device Management,What does the command show running-config display?,The active configuration in RAM.,This configuration is lost after reboot unless saved to startup-config.,,show running-config,Editing without saving,"config,cli,management",1,v1.1,True,published,27,2-027
D2-028,2.0,2,2.7,2.7.c,D2-device-management,Device Management,How do you save the running configuration?,By copying it to startup-config.,copy running-config startup-config,,show startup-config,Assuming auto-save,"config,save,cli",1,v1.1,True,published,28,2-028
D2-029,2.0,2,2.7,2.7.d,D2-device-management,Device Management,What command shows device uptime?,show version.,"This command displays IOS version, uptime, and hardware information.",,show version,Looking only at logs,"cli,uptime,ios",1,v1.1,True,published,29,2-029
D2-030,2.0,2,2.7,2.7.e,D2-device-management,Device Management,What does reload do?,Restarts the device.,Reload restarts the IOS software and clears the running configuration from memory.,reload,show version,Reloading without saving,"config,reload,ios",1,v1.1,True,published,30,2-030
